"time","latitude","longitude","depth","mag","magType","nst","gap","dmin","rms","net","id","updated","place","type"
"1415526957100","41.8679","-119.6384","1.5706","1.98","""ml""","4","244.73","0.496","0.1664","""nn""","id288","1415542748141","""68km ESE of Lakeview, Oregon""","earthquake"
"1415524739180","38.7718333","-122.7131667","1.58","1.13","""md""","44","39","0.003604","0.1","""nc""","id292","1486263635069","""3km E of The Geysers, California""","earthquake"
"1415524681110","37.5308333","-118.8125","10.065","0.52","""md""","12","298","0.06036","0.03","""nc""","id293","1486263629309","""19km SE of Mammoth Lakes, California""","earthquake"
"1415524582836","41.8913","-119.61","0.3331","1.69","""ml""","3","242.19","0.516","0.0832","""nn""","id294","1420231851148","""69km ESE of Lakeview, Oregon""","earthquake"
"1415524391040","39.2246667","-122.7021667","5.143","1.21","""md""","7","124","0.1162","0.05","""nc""","id295","1486263623971","""16km NE of Nice, California""","earthquake"
"1415524288800","18.1952","-66.8312","27","2.4","""Md""","7","118.8","0.16798496","0.21","""pr""","id296","1415543141486","""5km NW of Adjuntas, Puerto Rico""","earthquake"
"1415524171680","33.6708333","-116.7228333","17.829","0.67","""ml""","25","84","0.04087","0.21","""ci""","id297","1457696136041","""8km S of Idyllwild, CA""","earthquake"
"1415523660770","35.8238333","-117.7533333","10.617","1.18","""ml""","27","42","0.0179","0.17","""ci""","id300","1457702543975","""19km SE of Little Lake, CA""","earthquake"
"1415523410110","46.2971667","-122.2136667","3.848","-0.26","""md""","10","130","0.02226","0.17","""uw""","id301","1469216461780","""29km S of Morton, Washington""","earthquake"
"1415522888100","19.0608","-65.1147","24","2.5","""Md""","7","302.4","0.76446631","0.27","""pr""","id302","1426811964241","""81km NNW of Charlotte Amalie, U.S. Virgin Islands""","earthquake"
"1415522662110","41.9024","-119.6207","0","1.18","""ml""","3","240.54","0.508","0.0321","""nn""","id303","1420231573222","""67km ESE of Lakeview, Oregon""","earthquake"
"1415522352470","46.1985","-122.1805","1.153","1.1","""ml""","17","79","0.007221","0.08","""uw""","id304","1469216461360","""37km NNE of Amboy, Washington""","earthquake"
"1415522282600","46.1988333","-122.1831667","1.853","0.69","""ml""","10","79","0.005343","0.09","""uw""","id305","1469216460910","""Mount St. Helens area, Washington""","earthquake"
"1415521654070","46.2008333","-122.1806667","1.939","0.1","""mh""","6","138","0.006927","0.06","""uw""","id306","1469216460620","""38km NNE of Amboy, Washington""","earthquake"
"1415520915310","46.2015","-122.1841667","1.285","-0.38","""md""","6","133","0.004651","0.07","""uw""","id308","1469216460370","""38km NNE of Amboy, Washington""","earthquake"
"1415520777480","33.7166667","-116.8275","17.849","0.69","""ml""","31","87","0.08555","0.12","""ci""","id309","1457663751462","""7km ESE of Valle Vista, CA""","earthquake"
"1415519012940","38.8106651","-122.8133316","2.12","0.8","""md""","12","67","0.01261","0.02","""nc""","id312","1486263618918","""6km NW of The Geysers, California""","earthquake"
"1415518427800","35.8261667","-117.7538333","11.377","0.72","""ml""","15","51","0.01973","0.19","""ci""","id314","1457702542587","""18km SE of Little Lake, CA""","earthquake"
"1415518143040","40.1443333","-123.8498333","22.578","1.45","""md""","14","76","0.0964","0.07","""nc""","id316","1486263613904","""3km NW of Redway, California""","earthquake"
"1415518037270","35.6443333","-117.6488333","0.152","0.65","""ml""","14","70","0.09566","0.15","""ci""","id317","1457689809896","""4km NE of Ridgecrest, CA""","earthquake"
"1415517230640","33.4381667","-116.6318333","5.731","-0.33","""ml""","15","105","0.06077","0.07","""ci""","id320","1457730243963","""14km SSE of Anza, CA""","earthquake"
"1415517000780","37.2508333","-97.8866667","3.55","1.59","""ml""","11","159","0.02257","0.07","""ismpkansas""","id322","1437341497880","""Kansas""","earthquake"
"1415516384150","34.0226667","-117.2345","16.204","0.67","""ml""","14","124","0.09152","0.12","""ci""","id324","1457702541195","""4km SE of Loma Linda, CA""","earthquake"
"1415514513410","36.5268333","-121.1201667","6.488","0.84","""md""","12","90","0.05405","0.08","""nc""","id329","1486263608225","""21km ENE of Soledad, California""","earthquake"
"1415514493000","34.856","-118.9518333","2.13","1.18","""ml""","23","85","0.06684","0.19","""ci""","id330","1457670326717","""4km N of Frazier Park, CA""","earthquake"
"1415514190351","41.8965","-119.6476","0","1.85","""ml""","3","240.76","0.488","0.1119","""nn""","id332","1420228842553","""66km ESE of Lakeview, Oregon""","earthquake"
"1415513561520","40.6413333","-124.7708333","3.609","2.33","""md""","43","247","0.3694","0.07","""nc""","id333","1486263602386","""43km W of Ferndale, California""","earthquake"
"1415513409246","41.8889","-119.6194","0.5672","1.74","""ml""","3","242.31","0.509","0.0332","""nn""","id334","1420229116413","""68km ESE of Lakeview, Oregon""","earthquake"
"1415513319590","35.8211667","-117.7511667","10.007","1.52","""ml""","32","41","0.01681","0.16","""ci""","id335","1457709238355","""19km SE of Little Lake, CA""","earthquake"
"1415513208060","33.7205","-116.8215","17.556","0.88","""ml""","26","169","0.08995","0.11","""ci""","id337","1457663750031","""7km ESE of Valle Vista, CA""","earthquake"
"1415512807080","35.8138333","-117.753","12.161","0.24","""ml""","10","63","0.011","0.16","""ci""","id338","1457757038832","""19km NNE of Inyokern, CA""","earthquake"
